pv1,pv2,pv3,pv4,pv5,pv6,pv7,pv8
615,611,684,788,277,620,853,810
615,611,683,788,262,622,854,812
617,608,677,774,313,634,856,804
618,610,679,779,323,633,856,807
618,610,681,780,325,633,856,808
617,609,680,781,329,634,856,809
617,610,681,782,331,634,856,809
617,610,681,784,334,632,856,811
616,612,682,786,327,631,857,811
616,612,682,785,336,632,856,812
616,613,680,784,340,635,858,812
615,610,677,775,341,640,858,810
616,611,680,781,343,640,859,811
616,611,679,778,345,642,860,810
615,612,679,779,348,643,860,812
615,612,679,781,347,639,860,812
615,612,680,781,349,641,861,813
615,610,679,781,350,640,861,813
615,612,680,782,348,638,861,812
615,610,679,781,351,638,862,814
616,609,679,779,352,643,862,813
614,607,677,779,351,643,862,814
615,608,678,780,352,643,863,814
613,606,676,778,348,644,863,815
616,610,678,775,348,643,862,810
615,607,671,766,353,648,863,809
615,609,670,764,356,655,863,806
613,608,674,771,350,650,864,813
614,609,675,772,354,650,864,813
613,607,675,772,357,653,864,814
614,608,676,773,360,653,864,814
613,609,677,773,356,652,864,815
614,609,677,774,357,652,864,815
612,608,675,773,357,649,865,816
613,609,676,774,357,648,865,816
612,609,676,774,359,643,865,816
612,608,677,774,359,646,865,816
612,608,677,775,360,646,865,817
613,608,677,775,359,645,865,817
612,607,676,774,360,647,865,817
612,608,676,774,363,646,865,817
611,607,677,775,360,645,865,818
610,605,675,774,363,644,866,818
610,605,675,773,366,646,866,818
609,605,677,774,363,645,866,818
610,605,677,775,362,643,866,819
609,604,676,774,367,648,866,819
610,605,676,774,365,647,866,819
609,604,676,775,361,644,866,819
609,604,677,775,364,647,866,820
611,606,676,773,368,651,866,818
609,605,675,774,364,651,867,819
610,607,673,767,370,655,867,813
611,607,673,770,373,656,867,815
611,607,675,772,367,651,868,817
610,607,676,773,366,645,867,818
611,606,676,773,368,649,867,817
610,605,676,774,367,641,867,818
611,605,677,774,368,642,867,819
610,604,677,774,367,643,867,819
610,605,676,774,369,645,867,819
610,605,676,774,368,644,867,818
611,605,676,773,369,649,867,817
613,609,678,774,336,653,866,815
613,612,678,772,326,654,866,814
612,608,678,773,305,638,867,815
617,614,679,775,334,640,867,816
618,611,680,774,334,642,868,817
618,610,679,774,339,641,868,818
618,612,680,774,345,640,868,818
618,612,680,776,344,641,868,818
620,625,685,732,287,662,859,742
621,622,686,751,288,658,861,763
622,624,680,735,325,666,862,756
623,625,683,747,319,666,863,761
623,624,684,749,324,667,863,764
620,621,684,751,329,660,863,768
621,623,682,750,344,664,864,770
622,624,683,752,346,664,863,771
621,621,682,752,345,664,864,773
621,622,683,753,346,664,863,774
617,618,683,756,344,663,864,776
618,619,683,758,349,663,864,779
617,619,684,759,346,660,864,781
618,619,684,760,343,659,864,783
618,619,684,760,347,660,865,784
619,621,685,761,350,662,864,784
618,621,685,761,351,662,865,784
618,621,686,762,350,661,865,785
618,621,686,763,351,662,865,785
618,622,686,763,352,661,865,786
618,621,687,763,347,660,865,786
618,620,687,764,349,661,865,787
617,620,686,763,352,660,865,787
617,620,687,764,351,659,865,788
617,620,687,765,343,659,865,789
618,620,687,766,343,658,865,789
618,620,686,766,347,659,865,789
618,621,686,767,345,656,865,790
618,621,687,767,345,656,865,790
618,620,686,767,344,658,865,790
618,620,686,766,350,659,865,790
619,621,686,767,349,659,865,790
618,621,687,767,348,659,865,790
