timestamp_ms,relative_pitch_deg
5298,0.0
7312,-1.17
8320,-0.83
9327,-1.88
10334,0.42
11341,2.54
12349,4.18
13357,8.24
14363,4.62
15371,-1.46
16378,-2.1
17386,-3.96
18393,-1.83
19400,-1.62
20408,-8.36
21415,-5.98
22422,-2.74
23430,-1.62
24437,-1.07
25445,-1.22
26451,-2.51
27459,-3.38
28467,-3.44
29474,-3.8
30482,-3.35
31489,-3.54
32496,-2.85
33504,-3.65
34511,-3.06
35518,-6.1
36526,-3.09
37533,-2.91
38541,-2.56
39547,-2.68
40555,-3.44
41563,-2.85
42570,-2.96
43578,-3.26
44584,-2.49
45592,-2.18
46600,-3.18
47607,-4.05
48614,-3.47
49622,-3.26
50629,-3.04
51637,-2.74
52643,-2.6
53651,-2.58
54659,-2.66
55666,-4.19
56674,-4.13
57680,-3.22
58688,-7.35
59696,-2.59
60703,-2.11
61710,-2.81
62717,-2.6
63725,-1.88
64733,-2.14
65740,-1.38
66747,-3.72
67755,-5.93
68762,-3.51
69770,-3.65
70776,-2.16
71784,-2.71
72792,-2.76
73799,-2.62
74807,-2.33
75813,-2.25
76821,-1.8
77829,-4.07
78836,-3.3
79844,-0.98
80850,-2.31
81858,-1.05
82866,-1.58
83873,-1.72
84880,-2.1
85888,-2.16
86895,-3.57
87903,-3.53
88910,-6.49
89917,-2.92
90925,-2.36
91932,-2.23
92940,-2.64
93947,-2.1
94954,-2.22
95962,-2.18
96969,-2.87
97977,-2.34
98984,-2.09
99991,-2.93
100999,-2.46
102006,-3.15
103014,-2.34
104020,-2.75
105028,-2.99
106036,-3.54
107043,-2.55
108051,-2.98
