pv1,pv2,pv3,pv4,pv5,pv6,pv7,pv8
366,679,826,744,592,613,803,735
379,684,828,747,590,609,800,740
338,669,827,751,591,612,804,751
338,669,827,754,591,614,805,756
344,668,827,756,591,615,805,760
349,667,828,758,592,614,804,762
350,669,829,760,590,613,804,764
327,668,829,762,591,614,805,764
338,670,830,763,592,610,803,763
344,670,830,769,592,612,803,765
348,669,830,768,591,612,802,767
349,665,831,769,591,612,804,769
350,666,830,770,593,612,804,770
352,668,831,770,593,612,804,771
351,667,830,771,593,613,804,773
346,666,831,772,593,613,805,775
350,665,831,772,593,613,805,776
352,667,831,774,593,612,804,776
353,667,831,774,593,612,804,777
352,667,831,774,592,612,804,778
354,667,831,774,592,612,804,778
356,668,831,775,592,612,803,779
354,666,831,775,593,612,804,780
358,668,831,775,593,612,804,780
357,667,832,776,594,611,804,781
358,667,831,776,593,612,804,781
355,667,832,776,593,612,804,782
360,668,832,777,593,612,805,783
360,667,832,777,593,612,805,784
356,667,832,777,594,611,805,784
358,666,832,778,594,611,805,785
355,666,831,775,594,612,805,784
359,667,832,777,593,609,805,784
355,666,832,777,592,610,806,785
357,666,832,777,593,611,805,786
359,666,833,778,593,610,805,786
365,666,832,778,592,610,804,785
365,666,833,778,592,610,805,786
368,667,833,778,593,610,804,785
365,666,833,778,592,612,806,787
368,666,833,778,593,611,805,787
367,667,833,778,593,612,805,788
366,666,833,778,592,612,806,788
369,667,833,778,592,612,805,788
369,668,833,778,593,612,806,788
369,666,833,778,592,612,806,789
368,665,833,778,592,612,806,790
369,666,833,779,592,612,806,789
368,666,833,779,592,611,806,789
367,665,834,779,592,612,806,790
370,665,833,779,591,612,806,790
370,667,833,779,592,611,807,790
370,666,833,779,592,611,807,791
372,665,833,779,592,612,807,791
372,667,833,779,592,611,806,791
374,666,833,779,592,611,806,792
374,667,833,779,592,611,807,791
206,672,832,778,592,612,808,787
327,678,834,778,581,596,796,775
325,663,831,777,592,605,805,788
339,665,831,779,593,605,808,789
334,664,833,779,591,601,807,790
342,666,833,780,592,605,807,790
341,666,833,780,592,605,808,791
351,667,833,780,593,605,807,790
348,667,833,780,593,606,807,790
346,664,833,781,589,602,805,792
347,664,833,781,591,604,806,792
359,669,832,778,591,599,802,787
377,679,836,781,586,592,792,774
339,666,827,772,596,604,806,781
374,674,831,773,596,604,803,776
384,678,832,774,595,602,798,773
381,677,833,776,594,603,800,776
379,675,831,775,595,605,802,780
398,685,840,785,576,582,785,767
361,669,833,780,588,596,798,776
365,670,835,781,590,596,798,776
329,665,837,784,586,595,798,784
346,669,836,783,589,596,799,783
352,666,835,782,590,600,802,783
360,668,836,784,588,598,802,783
364,670,835,783,591,600,802,783
374,671,837,784,591,600,797,782
362,671,836,783,591,602,802,782
357,668,835,783,592,603,803,785
376,673,831,777,582,602,802,780
379,671,836,783,582,599,800,784
380,674,836,782,582,598,801,782
377,671,834,782,587,600,804,785
389,675,835,782,587,601,802,784
389,674,836,783,588,599,802,785
390,674,836,783,588,601,803,786
391,674,836,783,588,602,802,786
394,676,836,783,588,601,802,785
395,676,836,783,589,602,802,786
397,677,836,783,588,600,802,784
397,677,836,784,589,601,802,785
397,677,836,784,588,601,802,784
396,677,836,784,588,601,802,785
308,672,834,784,590,601,801,782
360,673,836,784,589,603,802,786
362,675,836,785,592,605,802,784
369,679,835,783,591,604,800,781
388,679,833,779,592,608,803,779
