timestamp_ms,relative_pitch_deg
1074,0.0
3074,0.13
4074,0.1
5075,-0.51
6075,0.11
7075,0.21
8075,-0.43
9075,0.77
10075,0.28
11075,-0.33
12075,0.06
13075,0.59
14076,0.54
15076,4.53
16077,35.15
17077,1.18
18077,1.86
19077,7.46
20077,0.85
21078,1.39
22079,1.14
23080,2.04
24080,1.81
25080,3.97
26080,2.1
27080,2.15
28081,2.19
29082,1.82
30082,1.54
31082,2.35
32083,2.44
33083,1.78
34083,1.94
35083,-2.44
36084,1.99
37084,1.68
38084,2.31
39084,2.04
40084,0.16
41084,1.64
42085,1.57
43085,2.28
44085,1.72
45085,2.05
46085,2.47
47086,0.3
48086,-0.39
49086,21.02
50087,1.74
51087,1.22
52087,1.46
53087,1.56
54087,1.96
55087,1.39
56087,1.36
57088,1.5
58088,1.93
59089,0.72
60090,2.61
61090,1.79
62091,2.18
63091,1.7
64091,1.38
65091,1.69
66091,2.6
67092,1.89
68092,1.86
69092,2.33
70092,2.05
71093,1.8
72093,1.02
73093,2.26
74094,13.22
75094,2.81
76095,8.2
77095,2.08
78095,2.69
79095,2.09
80096,1.51
81096,1.55
82097,1.15
83097,1.07
84097,1.98
85097,2.45
86097,1.92
87098,2.06
88098,1.79
89098,1.58
90098,1.49
91098,2.22
92098,2.02
93099,2.53
94099,2.45
95099,1.98
96099,3.07
97100,2.89
98100,2.67
99100,1.92
100101,2.47
101102,2.64
102102,2.72
103102,2.71
104102,3.5
105102,3.32
106103,18.22
107104,2.31
108104,2.34
109104,2.33
110104,2.46
111104,2.45
112104,2.49
113104,2.43
114104,2.58
115104,2.48
116104,2.66
